loss,id
1528.65232294,4
1969.72778381,6
9574.06132505,9
6780.59877908,12
812.676684077,15
2435.49827555,17
2105.22292548,21
850.458100782,28
2734.59081539,32
3161.15789632,43
2885.89236824,46
950.748214126,50
1198.51985053,54
1971.86276561,62
2336.64631102,70
4980.80581237,71
2136.65872625,75
2394.51143147,77
2518.6153447,81
2402.37419385,83
1926.03056806,87
1592.04732742,97
1120.19521219,103
1072.58427093,119
1861.8572386,120
993.466444506,127
4967.91762798,138
3538.93275076,141
699.203436517,148
2519.52590351,150
2310.97502048,151
1533.07019072,158
5947.80871398,160
2650.19005062,165
3792.79849557,168
4068.06668335,169
2934.40015149,177
3613.09006024,178
2243.80131809,184
9397.07844844,194
1760.2123104,198
3495.41783032,203
2492.89034204,211
1267.1457112,217
1275.67865126,219
5128.46627116,221
1832.53668465,227
1546.58956468,230
2034.24921304,235
689.90324644,240
3032.36197922,243
6770.56690057,249
2854.68271662,253
1453.89759298,258
1663.43570384,261
3497.14065149,263
2488.70018324,264
4175.49264487,265
1933.93974087,268
1085.79796673,271
6056.15853705,274
697.058617883,275
1485.65748597,279
1656.6218818,282
3429.10395107,286
1067.69823218,288
2076.49165247,294
1032.75689728,296
1426.19171534,297
797.215409452,300
8983.90730135,303
1040.87697813,314
4788.88863613,315
2660.33426981,321
3930.89959609,323
3936.90837556,330
1981.30262007,341
4404.66192725,342
1619.51955907,352
3771.10065023,353
5306.98616795,360
2307.27163747,361
4513.64705154,362
1358.64832901,366
3517.50909516,372
2748.47857558,376
2285.58918009,377
1674.03834272,379
3778.96785922,380
1850.85495634,387
2053.62144726,392
11303.5636476,394
1583.20539351,395
1479.15606645,397
5926.30086774,407
9124.68885897,411
2601.11745071,416
1598.20398264,417
4262.17003802,419
6011.06108007,428
1818.67431616,431
8598.22737804,436
1633.85408365,438
6704.10231065,445
7219.5224023,446
1350.04731773,455
1304.01017932,456
952.195562001,461
1928.29520122,463
3886.36701063,464
1776.5782203,466
1293.9309745,467
1289.66794621,470
1479.47079859,475
3422.17805215,482
3807.01408515,490
1797.87888647,496
4394.94248161,497
2888.29467654,508
1855.91702483,510
1996.49046255,512
3731.72854925,513
1823.18080949,523
4980.8075121,531
2314.73338276,532
1365.6883329,533
1202.6065195,537
4956.08472172,544
2594.43655426,547
8294.17933113,556
1436.92804115,565
1205.92435138,566
1441.04602409,571
1857.45048665,573
936.832509802,574
2059.08184633,581
2108.43307452,585
1811.80716804,589
1813.41728627,597
3543.75813439,601
1861.98632117,602
1495.78968932,613
1470.1125444,616
2207.48644914,619
1904.4302538,622
2138.87491259,623
1682.9988495,629
1567.48093892,634
1036.78887156,638
1086.168431,642
2117.01506715,643
1028.17372367,645
7475.9392972,648
1209.7784277,652
1035.87811517,664
2318.67607,666
887.516997561,672
2365.53321882,676
4587.80031016,678
1970.85270646,682
2976.56010859,686
2473.36367239,688
1222.44989051,689
1887.11433628,690
12979.4028954,692
1691.59827959,695
4012.08152619,697
2247.5555453,698
2638.30312407,706
1505.24364277,708
2965.85243777,712
4291.25164159,715
1385.82119554,717
3342.66971625,725
1072.4620975,729
1389.10003748,737
5574.34102926,739
3877.32317032,747
2631.78160286,753
2306.03334664,758
2112.85160723,759
1428.1713481,763
4377.57122674,773
2064.08662173,774
1520.96199102,776
3044.31966933,788
3229.38400008,790
968.468135389,794
3082.01823797,801
1426.80879196,802
1411.60821132,805
5251.80384184,809
1701.25211108,812
2537.45717355,825
2174.23633269,828
1414.86496891,830
1183.00360697,833
5708.60937136,850
6325.58872328,852
1486.10016442,862
1366.73574914,863
1610.51982114,864
3852.81285856,865
6669.62114696,868
1578.01304621,872
5308.26784494,879
1606.1884988,880
1244.52716942,883
1394.32590061,886
1772.54814333,923
1500.44595879,924
1454.37829346,932
6284.22016963,945
6645.48105617,947
2293.89523009,948
2823.1264713,955
4119.04708504,963
1407.29626163,979
1540.71617217,989
3076.78880405,994
1936.73919857,995
1373.3087806,998
4429.47043355,1000
1801.25419444,1018
1676.83602256,1019
1951.33559998,1028
1322.14598299,1034
1677.9562689,1038
1374.9245539,1040
1351.72901172,1042
7138.68326311,1057
2432.51518232,1058
1006.35595582,1063
4752.00123599,1066
4310.65406615,1071
3958.45602523,1073
2973.62434723,1074
2971.05169451,1077
9763.89365922,1080
881.998969901,1088
782.036538342,1096
12231.1466375,1097
5788.94059014,1105
1961.28985097,1115
3140.92203951,1116
2390.49816288,1122
5173.6700528,1130
1013.66463539,1133
1742.97656777,1137
1983.71849833,1140
7908.73098555,1143
5545.58874425,1149
976.614201523,1150
771.45695187,1153
856.522105349,1157
649.191182471,1180
962.879120219,1183
1638.03125523,1188
1090.24020194,1193
801.554407571,1200
4395.18625833,1209
1972.66312656,1214
1994.21447662,1219
5937.73832701,1223
818.286917116,1227
1506.22916012,1228
4697.58989897,1229
909.127536435,1233
6317.35690008,1238
2104.22666234,1239
3341.31532881,1241
1823.08208841,1243
1150.88105567,1244
3429.18387358,1245
4692.32402738,1277
3392.81329837,1279
13023.970939,1292
1403.66484006,1293
9695.28618359,1299
2991.10754517,1304
3853.8906874,1313
2214.53735887,1328
1138.61600106,1330
1506.32460675,1334
1367.69333953,1335
6251.69118795,1336
1071.76716829,1341
1179.54981406,1344
821.982582659,1351
2727.33827733,1352
1583.18008663,1354
4240.4177676,1368
1490.1270565,1373
687.575489861,1375
1579.6772981,1381
5096.59214175,1384
4492.02513927,1385
5704.7169462,1388
6003.0921174,1401
2779.05377839,1402
1557.37759377,1404
1456.3176142,1406
1174.59813347,1409
1415.636833,1422
3211.53954646,1429
5773.43806291,1433
1112.20148403,1438
1182.55627839,1444
1125.11579945,1446
1165.89002424,1450
782.386818193,1451
1850.66109481,1454
2179.38035694,1458
3601.85689679,1461
6307.70830893,1464
1003.2291046,1465
2095.85889161,1478
1643.73569356,1479
2731.47648247,1480
2414.94698337,1484
897.913547415,1486
871.65178684,1488
3516.66266118,1489
1032.34444794,1491
2113.80978679,1507
2253.08720442,1515
2802.04138875,1519
1752.6425452,1528
964.240794039,1529
3083.92481069,1530
1190.36225434,1532
1661.19676472,1541
3467.44345007,1542
1325.69517499,1547
1192.89480346,1549
2308.42789794,1553
2982.77921335,1554
1327.16124593,1555
