id,loss
4,1514
6,2011
9,9337
12,6284
15,819
17,2318
21,2200
28,874.1
32,2556
43,3129
46,2887
50,1078
54,1249
62,2224
70,2372
71,4828
75,2011
77,2556
81,2556
83,2372
87,1906
97,1591
103,1121
119,1179
120,1760
127,1093
138,4234
141,3760
148,800.9
150,2318
151,2317
158,1603
160,5943
165,2748
168,3435
169,3555
177,2748
178,3255
184,2200
194,8467
198,1761
203,3435
211,2317
217,1249
219,1262
221,5319
227,1943
230,1591
235,2099
240,706.8
243,3106
249,6759
253,2556
258,1404
261,1784
263,3275
264,2556
265,4004
268,1891
271,1121
274,5589
275,716.2
279,1480
282,1682
286,3255
288,1096
294,2099
296,1002
297,1455
300,795.9
303,8446
314,1002
315,4804
321,2606
323,3613
330,3757
341,1891
342,4263
352,1591
353,3555
360,5057
361,2317
362,4263
366,1342
372,3255
376,2748
377,2317
379,1670
380,3613
387,1853
392,1947
394,1.02e+04
395,1557
397,1480
407,5667
411,8467
416,2606
417,1557
419,4203
428,6002
431,1797
436,8446
438,1559
445,6284
446,7101
455,1344
456,1318
461,961.4
463,1819
464,3757
466,1761
467,1288
470,1288
475,1455
482,3308
490,3507
496,1797
497,4263
508,2884
510,1906
512,1947
513,3757
523,1760
531,4822
532,2246
533,1404
537,1179
544,4828
547,2701
556,7821
565,1514
566,1236
571,1411
573,1760
574,957.5
581,1947
585,2099
589,1725
597,1853
601,3275
602,1725
613,1505
616,1480
619,2296
622,1797
623,2099
629,1655
634,1523
638,1002
642,1084
643,2099
645,1002
648,7350
652,1191
664,1002
666,2296
672,899.6
676,2318
678,4804
682,1943
686,2887
688,2224
689,1179
690,1797
692,1.209e+04
695,1670
697,4011
698,2200
706,2643
708,1505
712,2748
715,4011
717,1411
725,3255
729,1093
737,1344
739,5470
747,3760
753,2643
758,2246
759,2099
763,1342
773,4011
774,1947
776,1480
788,2887
790,3275
794,1002
801,2887
802,1419
805,1411
809,5179
812,1603
825,2372
828,2169
830,1419
833,1165
850,5483
852,6089
862,1523
863,1404
864,1557
865,3613
868,6504
872,1557
879,5179
880,1591
883,1288
886,1344
923,1760
924,1480
932,1523
945,6284
947,6089
948,2251
955,2643
963,3909
979,1401
989,1523
994,3011
995,1906
998,1342
1000,4234
1018,1725
1019,1682
1028,1853
1034,1404
1038,1682
1040,1404
1042,1404
1057,7106
1058,2372
1063,1002
1066,4777
1071,4011
1073,3757
1074,2748
1077,2748
1080,9517
1088,874.1
1096,795.9
1097,1.144e+04
1105,5589
1115,1947
1116,3011
1122,2246
1130,5057
1133,1002
1137,1682
1140,1943
1143,8080
1149,5589
1150,957.5
1153,780.1
1157,874.1
1180,626.8
1183,961.4
1188,1670
1193,1084
1200,795.9
1209,4115
1214,1943
1219,2011
1223,5813
1227,829.1
1228,1557
1229,4470
1233,899.6
1238,6284
1239,2011
1241,3275
1243,1801
1244,1121
1245,3255
1277,4470
1279,3275
1292,1.209e+04
1293,1411
1299,9333
1304,2887
1313,3555
1328,2127
1330,1093
1334,1514
1335,1321
1336,6089
1341,1084
1344,1121
1351,841.5
1352,2556
1354,1523
1368,4004
1373,1514
1375,683.4
1381,1557
1384,4937
1385,4263
1388,5589
1401,5943
1402,2643
1404,1514
