id,prediction,loss
1,1797,2213
2,1784,1284
5,4263,3005
10,1046,939.9
11,3255,2764
13,4004,5143
14,1249,1132
20,6284,3586
23,7821,1.028e+04
24,5943,6185
25,4470,6397
33,5589,5966
34,1906,1193
41,1084,1072
47,829.1,585.2
48,1288,1395
49,8446,6609
51,1603,2659
52,3613,4167
55,2099,3798
57,1078,1155
60,1121,891.1
61,1249,766
66,2011,771.6
73,2317,7256
76,2099,1529
86,2372,4787
89,1288,2164
90,5943,1.167e+04
93,1947,1754
100,2556,4521
105,1784,2128
107,4203,5371
111,3255,1831
112,1342,2422
116,1411,1376
118,4011,7703
125,1.31e+04,1.125e+04
130,1455,876.8
139,2748,3553
140,1165,1154
144,5589,4822
146,4470,2810
149,2372,3110
153,1344,1301
156,1.097e+04,1.01e+04
162,1249,858.5
166,899.6,692.5
167,1411,786.3
171,1591,1028
172,2349,3977
173,2234,1809
174,2318,3486
175,2372,1510
186,1725,2906
191,2224,7484
197,1591,1141
200,1682,595.1
202,2462,3343
205,3760,5113
207,1947,1432
208,1321,425.8
212,1238,703.1
215,2556,1998
218,1682,2206
222,1.772e+04,1.171e+04
223,1557,796.8
225,1725,1.736e+04
226,1445,515
228,4777,8537
232,1121,817.7
233,3435,2586
237,2011,5609
244,4937,3608
245,1514,2222
248,1559,2087
259,2099,6214
260,2099,2533
276,3435,1.55e+04
277,2887,6806
285,1819,2886
289,4443,4384
291,1863,487.2
292,1135,1019
293,1411,942.9
298,1321,2156
306,1288,1578
308,1318,887.5
316,1078,1761
318,601,38.4
319,1288,1231
320,1891,442.2
322,1514,824.5
324,2246,4199
325,4234,4837
327,2556,2284
333,1891,1246
335,3308,8582
337,1249,559.5
343,2556,2201
351,1135,4352
354,3129,5414
383,1559,2365
386,1947,757.9
388,4263,3096
393,1411,436.6
401,2748,6960
402,1557,2158
404,3555,4242
406,1603,1343
409,5319,6101
412,1179,2934
414,1135,1085
418,2296,1647
422,3435,4342
424,1559,1025
427,795.9,939.4
430,1784,3717
433,2606,1302
435,2011,1.127e+04
437,1797,1494
439,1505,2076
440,5319,4882
442,3760,1814
443,3435,1417
449,1.097e+04,1.546e+04
450,1863,2862
451,2169,2084
454,2372,3271
458,7276,5030
474,2169,2569
476,2099,1515
478,2643,2541
481,1404,1083
484,2748,1797
488,1288,1249
493,5084,7383
499,1288,986.3
502,5589,3648
511,829.1,621.4
516,1682,2879
517,1093,1338
522,2011,2514
526,1411,2298
527,1344,1325
534,1455,1371
536,3435,6144
538,1863,1538
540,1853,4061
542,876,645.7
550,1131,738.4
552,3106,4723
