id,loss
1,1915.62988281
2,1773.88891602
5,4238.73486328
10,1053.25158691
11,3342.48779297
13,3807.07714844
14,1196.56079102
20,6130.08496094
23,8197.44433594
24,6214.83105469
25,4796.98535156
33,5422.36767578
34,2114.41455078
41,1003.8125
47,703.733703613
48,1170.81433105
49,8599.73242188
51,1466.640625
52,3843.82739258
55,2240.93188477
57,1040.85229492
60,952.275878906
61,1190.95288086
66,2026.8684082
73,1979.42895508
76,2137.66064453
86,2295.88867188
89,1341.0760498
90,6166.66455078
93,1928.65722656
100,2523.67822266
105,1788.60583496
107,4656.93115234
111,3146.87939453
112,1261.33483887
116,1239.67883301
118,4396.67871094
125,11556.2685547
130,1591.90576172
139,2583.78735352
140,1043.62207031
144,5329.6875
146,4291.13427734
149,2354.08789062
153,1320.33129883
156,11548.0527344
162,1169.69970703
166,815.09173584
167,1285.20275879
171,1523.43151855
172,2518.72290039
173,2147.46044922
174,2004.72290039
175,2363.04394531
186,1853.3605957
191,2169.07543945
197,1500.54406738
200,1555.51428223
202,2374.31494141
205,3547.88037109
207,2027.15209961
208,1272.91564941
212,1174.65600586
215,2817.27026367
218,1675.22021484
222,18818.7910156
223,1463.49645996
225,1503.89550781
226,1441.18200684
228,4296.53857422
232,1033.98059082
233,3537.76831055
237,2121.07641602
244,4933.53857422
245,1583.75500488
248,1625.04394531
259,1992.16430664
260,2121.27807617
276,3594.03076172
277,3207.86914062
285,1739.21362305
289,4756.79394531
291,2054.28833008
292,1172.68505859
293,1459.47021484
298,1332.89550781
306,1137.97253418
308,1300.03808594
316,1057.39807129
318,577.064086914
319,1481.30041504
320,1906.89038086
322,1268.74401855
324,2253.34619141
325,4319.18164062
327,2744.83837891
333,1896.4230957
335,3493.0559082
337,1155.25415039
343,2523.67822266
351,1217.00854492
354,2933.14111328
383,1518.97729492
386,1971.15161133
388,4015.04101562
393,1307.1697998
401,2552.42749023
402,1639.61499023
404,3476.57836914
406,1563.10302734
409,5013.65429688
412,1213.59106445
414,1159.69335938
418,2115.89819336
422,3715.00366211
424,1467.00708008
427,813.255493164
430,1713.85400391
433,2297.70654297
435,2011.08178711
437,1724.77319336
439,1473.21630859
440,4657.9453125
442,3397.54638672
443,3305.15209961
449,12159.640625
450,1915.91235352
451,2031.09448242
454,2347.02294922
