target,bagging_fraction,feature_fraction,min_data_in_leaf,num_leaves
 -1135.92545,             0.8665,             0.3319,             7.7117,     198.3246
 -1135.97145,             0.8691,             0.3653,             7.0416,     207.8725
 -1136.05810,             0.9950,             0.3597,             9.9583,     205.6107
 -1136.51349,             0.7838,             0.2591,             9.7096,     196.1246
 -1135.95998,             0.7836,             0.3415,             6.7290,     204.9221
 -1136.86524,             0.7292,             0.2003,             9.8486,     201.2848
 -1136.06261,             0.8439,             0.2087,             6.0894,     202.9572
 -1136.09913,             0.8930,             0.3520,             7.6299,     190.3246
 -1136.81516,             0.7238,             0.2274,             8.4413,     205.1111
 -1135.85464,             0.9699,             0.3149,             8.6889,     202.2106
 -1136.75090,             1.0000,             0.4000,             6.0000,     210.0000
 -1136.43539,             1.0000,             0.4000,            10.0000,     190.0000
 -1136.69916,             1.0000,             0.4000,             6.0000,     190.0000
 -1136.61763,             1.0000,             0.4000,            10.0000,     210.0000
